user.id,binari.engaged,type.user,time
10327,Yes,0,105
86574,Yes,0,105
177538,No,1,46
231671,Yes,0,105
381849,No,1,60
402298,Yes,0,105
431790,No,1,91
591362,No,1,46
643245,No,1,77
853682,Yes,0,105
860397,Yes,0,105
1068155,Yes,0,105
1087294,Yes,0,105
1153995,Yes,0,105
1154186,Yes,0,105
1157485,Yes,0,105
1174955,Yes,0,105
1187987,No,1,46
1203242,Yes,0,105
1261251,Yes,0,105
1415621,Yes,0,105
1499944,No,1,47
2003059,No,1,46
2003714,Yes,0,105
2042136,No,1,77
2081478,Yes,0,105
2105546,Yes,0,105
2164019,Yes,0,105
2175078,Yes,0,105
2218932,No,1,46
2224477,No,1,46
2258855,Yes,0,105
2259444,Yes,0,105
2261226,No,1,46
2277569,No,1,60
2293393,No,1,46
2299531,Yes,0,105
2312224,Yes,0,105
2336787,No,1,77
2380442,Yes,0,105
2380754,No,1,44
2381058,No,1,46
2381331,No,1,46
2381604,Yes,0,105
2382848,Yes,0,105
2383854,No,1,28
2384626,Yes,0,105
2385211,No,1,47
2385835,Yes,0,105
2386104,Yes,0,105
2386260,No,1,47
2388362,No,1,46
2388549,Yes,0,105
2388783,No,1,47
2388826,Yes,0,105
2390148,Yes,0,105
2391341,Yes,0,105
2391809,Yes,0,105
2392702,No,1,47
2400033,No,1,76
2400934,No,1,91
2402435,No,1,47
2405157,No,1,47
2407832,Yes,0,105
2410975,Yes,0,105
2416333,Yes,0,105
2418279,Yes,0,105
2419020,Yes,0,105
2419164,Yes,0,105
2420521,No,1,47
2421535,No,1,77
2425146,Yes,0,105
2427708,Yes,0,105
2433370,Yes,0,105
2434458,No,1,77
2439223,Yes,0,105
2439504,No,1,60
2440003,No,1,77
2440424,Yes,0,105
2440428,No,1,46
2441017,No,1,77
2442807,Yes,0,105
2446714,No,1,0
2454946,No,1,46
2455648,No,1,86
2459103,No,1,46
2461076,No,1,46
2461969,Yes,0,105
2464067,Yes,0,105
2465693,No,1,77
2466130,No,1,46
2466313,Yes,0,105
2479037,No,1,46
2481845,No,1,46
2484680,No,1,46
2492007,Yes,0,105
2498297,Yes,0,105
2500118,No,1,77
2500976,Yes,0,105
2501124,Yes,0,105
2502364,No,1,46
2504150,Yes,0,105
2505043,Yes,0,105
2510007,Yes,0,105
2513240,Yes,0,105
2521955,No,1,45
2522505,No,1,46
2526584,Yes,0,105
2528986,No,1,59
2530312,No,1,46
2536282,Yes,0,105
2536321,No,1,46
2543188,No,1,10
2543465,No,1,46
2544670,Yes,0,105
2549899,No,1,77
2553662,No,1,46
2555604,Yes,0,105
2558564,No,1,46
2561820,No,1,46
2568909,Yes,0,105
2569498,No,1,46
2569931,Yes,0,105
2571865,Yes,0,105
2575164,No,1,63
2576556,No,1,46
2577995,No,1,46
2580132,Yes,0,105
2583739,No,1,77
2585802,Yes,0,105
2585946,Yes,0,105
2585954,No,1,46
2586266,No,1,46
2592548,Yes,0,105
2592821,Yes,0,105
2594030,No,1,46
2596853,No,1,77
2596974,No,1,29
2601326,No,1,77
2602558,No,1,46
2602831,Yes,0,105
2605389,No,1,46
2607456,No,1,46
2608068,No,1,77
2609000,No,1,61
2609854,Yes,0,105
2612264,Yes,0,105
2612997,No,1,55
2618979,Yes,0,105
2619170,Yes,0,105
2622005,No,1,77
2627051,Yes,0,105
2627363,Yes,0,105
2627515,No,1,46
2628248,Yes,0,105
2638761,Yes,0,105
2645597,Yes,0,105
2645940,No,1,47
2647726,Yes,0,105
2650713,No,1,47
2652347,Yes,0,105
2658945,No,1,47
7305,Yes,0,105
32012,No,1,30
87818,No,1,47
94221,Yes,0,105
106329,Yes,0,105
107842,Yes,0,105
198299,No,1,60
206718,Yes,0,105
219376,No,1,60
287469,Yes,0,105
364925,Yes,0,105
505951,No,1,46
553092,No,1,77
619957,No,1,46
628575,No,1,76
837113,Yes,0,105
950737,Yes,0,105
1011928,No,1,46
1074410,No,1,61
1131296,No,1,77
1294935,No,1,77
1295360,Yes,0,105
1420238,No,1,46
1448962,Yes,0,105
1478879,Yes,0,105
1511631,Yes,0,105
1520588,Yes,0,105
1522682,Yes,0,105
2047993,Yes,0,105
2077571,Yes,0,105
2186605,No,1,77
2247796,No,1,47
2363058,No,1,101
2368338,Yes,0,105
2381947,Yes,0,105
2382099,No,1,46
2382536,No,1,60
2382696,No,1,77
2382996,No,1,35
2383121,No,1,46
2383456,Yes,0,105
2383585,No,1,72
2384041,No,1,77
2384786,Yes,0,105
2386693,No,1,47
2386732,No,1,46
2387340,No,1,46
2387621,Yes,0,105
2388514,Yes,0,105
2388635,No,1,60
2389875,No,1,46
2390491,No,1,60
2392554,No,1,77
2392706,No,1,77
2392862,No,1,77
2394640,No,1,60
2399604,No,1,46
2402556,No,1,47
2406011,No,1,47
2412890,No,1,47
2412917,Yes,0,105
2415136,No,1,47
2416645,No,1,60
2416918,Yes,0,105
2418127,Yes,0,105
2425883,Yes,0,105
2431151,No,1,46
2431857,No,1,46
2437878,Yes,0,105
2439999,No,1,77
2440549,No,1,51
2440584,Yes,0,105
2442830,No,1,46
2448781,No,1,77
2449674,No,1,77
2449701,No,1,46
2452696,Yes,0,105
2453858,Yes,0,105
2455219,Yes,0,105
2455250,No,1,46
2460495,Yes,0,105
2460760,No,1,46
2463135,Yes,0,105
2467202,Yes,0,105
2468988,Yes,0,105
2474853,Yes,0,105
2480827,Yes,0,105
2486181,No,1,46
2490061,No,1,46
2499186,No,1,46
2513232,No,1,47
2519522,No,1,46
2520758,Yes,0,105
2521183,No,1,46
2521928,Yes,0,105
2522813,No,1,47
2525999,No,1,46
2526428,No,1,77
2530000,No,1,46
2533724,No,1,46
2538068,Yes,0,105
2550523,No,1,60
2557975,No,1,46
2567864,Yes,0,105
2571323,No,1,46
2572793,No,1,46
2574279,Yes,0,105
2577258,No,1,46
2579785,No,1,60
2581879,No,1,77
2588052,No,1,77
2592388,Yes,0,105
2593566,No,1,46
2596896,No,1,46
2597442,No,1,46
2599883,Yes,0,105
2602094,No,1,77
2602410,No,1,46
2603728,Yes,0,105
2606009,No,1,46
2608228,No,1,60
2609425,Yes,0,105
2609589,No,1,46
2612880,No,1,77
2614081,No,1,88
2615290,No,1,46
2617809,Yes,0,105
2621233,Yes,0,105
2622122,No,1,46
2623939,No,1,46
2623943,No,1,46
2627862,Yes,0,105
2629800,No,1,46
2631243,No,1,46
2631734,Yes,0,105
2637061,No,1,47
2637556,No,1,77
2638574,Yes,0,105
2642150,No,1,47
2643655,Yes,0,105
2648163,Yes,0,105
135942,Yes,0,105
227912,Yes,0,105
296992,No,1,46
318521,No,1,9
329034,Yes,0,105
405168,Yes,0,105
642040,Yes,0,105
720861,Yes,0,105
870325,No,1,40
