user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
53,Yes,654,6.75,Night,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,990.5,116.571,1,0,0,0,0,0,0
53,No,3897.444,0.617,Day,232.333,0,3.2,0,11.75,12.5,0,5.44,12.65,0.4,90.418,0.9,0,0,0,4215.444,2180.333,5.667,2,15,96.627,0,6.238,7.5
55,Yes,6654.636,0.59,Night,69.8,0,41.4,1.2,32.543,3.25,0,72.86,11.133,14.057,0,5.65,19.7,0,43.8,2561.9,6591,6.182,0,10.667,60.744,0,9.283,0
53,Yes,2751.167,1.291,Night,15.833,0,0,0,0,37.6,88.483,0,29.2,0,0,2.2,0,0,0,10037.667,1205.286,1.333,0,0,29.874,49.057,0,0
53,Yes,4453.625,0.726,Day,34.857,0,0,0,0,0,0,0,2.1,70,0,10,92.557,0,28.6,14620.714,197.125,1.25,0,0,40.414,0,0,0
53,No,21153.778,0.444,Day,3.6,0,31.55,0,28.7,24.675,0,2,28.333,50.986,0,24.1,4.8,0,25,66360.667,1273.667,4.556,0,0,3.289,0,0,0
53,Yes,10339.5,0.552,Day,55.091,0,0,37.6,6.45,15.25,0,77.708,34.467,43.8,21,1.9,1.75,0,50,10840.833,2068,2.583,2,7.167,56.6,0,7.363,21.5
55,No,139,0.213,Day,25,0,0,0,91.3,4.3,0,0,4.3,0,0,0,0,0,0,85,209,5,0,0,108.696,0,0,0
55,No,817.25,2.09,Night,35.5,0,0,0,0,0,51.95,0,49.25,0,0,93.8,0,0,0,29436.5,658.429,2,0,0,102.158,30.216,0,0
53,No,15023.667,1.044,Day,5,0,9.75,60,3.333,92.012,0,0,5.467,12.7,20.55,3.4,0.8,0,25,81835.778,476,3.111,2,3,5.921,0,3.553,1.5
53,Yes,5048.667,1.002,Early,0,0,0,0,0,0,0,0,69.25,80.75,0,0,0,0,0,25019.333,117,1.667,0,0,0,0,0,0
53,Yes,1792.5,3.47,Night,6.75,0,31.4,100,0,75.767,0,0,82.6,0,0,0,0,0,0,13094.143,572,2.833,0,0,28.322,4.196,0,0
23,Yes,10865.833,0.789,Day,7.429,0,17.15,0,1.4,13.567,66.346,18.5,31.167,23.9,38.022,4.8,2.133,0,0,15066.75,1137.167,7.167,0,0,12.882,16.763,0,0
55,Yes,6943.286,2.036,Day,11.333,0,0,0,21.1,2.9,0,53.925,26,42.65,0,33.967,30.8,0,100,47305.111,436.556,2.571,0,9.5,20.714,0,17.363,0
